out_state,Number of Workers Who Work Out of State,,,,,,,,,,,,,,,,,,,,,
commute_car,Number of Workers Commuting by Car/Truck/Van,,,,,,,,,,,,,,,,,,,,,
commute_pub,Number of Workers Commuting by Public Transportation,,,,,,,,,,,,,,,,,,,,,
commute_byc,Number of Workers Commuting by Bicycle,,,,,,,,,,,,,,,,,,,,,
commute_walk,Number of Workers Commuting by Walking,,,,,,,,,,,,,,,,,,,,,
commute_1529,Number of Workers with Commute of 15-29 Minutes,,,,,,,,,,,,,,,,,,,,,
commute_3059,Number of Workers with Commute of 30-59 Minutes,,,,,,,,,,,,,,,,,,,,,
commute_60,Number of Workers with Commute of 60+ Minutes,,,,,,,,,,,,,,,,,,,,,
commute_15,Number of Workers with Commute of 15 Minutes or Less,,,,,,,,,,,,,,,,,,,,,
tot_hh,Number of Households,,,,,,,,,,,,,,,,,,,,,
mar_hh,Number of Married Couple Family Households,,,,,,,,,,,,,,,,,,,,,
nonfam_hh,Number of Non-Family Households,,,,,,,,,,,,,,,,,,,,,
norel_hh,Number of Households with One Non-Relative,,,,,,,,,,,,,,,,,,,,,
never_mar,Number of Residents Never Married,,,,,,,,,,,,,,,,,,,,,
now_mar,Number of Residents Now Married,,,,,,,,,,,,,,,,,,,,,
widow,Number of Residents Widowed,,,,,,,,,,,,,,,,,,,,,
divorced,Number of Residents Divorced,,,,,,,,,,,,,,,,,,,,,
in_preschl,Number of Residents Enrolled in Pre-School,,,,,,,,,,,,,,,,,,,,,
in_kinder,Number of Residents Enrolled in Kindergarten,,,,,,,,,,,,,,,,,,,,,
in_gr1_4,Number of Residents Enrolled in Grades 1-4,,,,,,,,,,,,,,,,,,,,,
in_gr5_8,Number of Residents Enrolled in Grades 5-8,,,,,,,,,,,,,,,,,,,,,
in_gr9_12,Number of Residents Enrolled in Grades 9-12,,,,,,,,,,,,,,,,,,,,,
in_undrgrad,Number of Residents Enrolled in College Undergraduate,,,,,,,,,,,,,,,,,,,,,
in_grad,Number of Residents Enrolled in College Graduate,,,,,,,,,,,,,,,,,,,,,
no_hs,Number of Residents Highest Education Less than High School,,,,,,,,,,,,,,,,,,,,,
hs,Number of Residents Highest Education High School,,,,,,,,,,,,,,,,,,,,,
ged,Number of Residents Highest Education GED,,,,,,,,,,,,,,,,,,,,,
some_college,Number of Residents Highest Education Some College,,,,,,,,,,,,,,,,,,,,,
associates,Number of Residents Highest Education Associates Degree,,,,,,,,,,,,,,,,,,,,,
bachelors,Number of Residents Highest Education Bachelors Degree,,,,,,,,,,,,,,,,,,,,,
masters,Number of Residents Highest Education Masters Degree,,,,,,,,,,,,,,,,,,,,,
prof,Number of Residents Highest Education Professional Degree,,,,,,,,,,,,,,,,,,,,,
doctorate,Number of Residents Highest Education Doctorate Degree,,,,,,,,,,,,,,,,,,,,,
eng_only,Number of Residents Speak English Only,,,,,,,,,,,,,,,,,,,,,
sp_only,Number of Residents Speak Spanish Only,,,,,,,,,,,,,,,,,,,,,
indoeur_only,Number of Residents Speak Other Indo European Only,,,,,,,,,,,,,,,,,,,,,
asianpi_only,Number of Residents Speak Asian Pacific Islander Only,,,,,,,,,,,,,,,,,,,,,
other_only,Number of Residents Speak Other Language Only,,,,,,,,,,,,,,,,,,,,,
pov_mar_fam,Number of Married Couple Families with Income Below Poverty Level,,,,,,,,,,,,,,,,,,,,,
pov_pop,Number of Residents with Income Below Poverty Level,,,,,,,,,,,,,,,,,,,,,
inc_10k_14999,Number of Households Income 10000-14999,,,,,,,,,,,,,,,,,,,,,
inc_15k_19999,Number of Households Income 15000-19999,,,,,,,,,,,,,,,,,,,,,
inc_20k_24999,Number of Households Income 20000-24999,,,,,,,,,,,,,,,,,,,,,
inc_25k_29999,Number of Households Income 25000-29999,,,,,,,,,,,,,,,,,,,,,
inc_30k_39999,Number of Households Income 30000-39999,,,,,,,,,,,,,,,,,,,,,
inc_40k_49999,Number of Households Income 40000-49999,,,,,,,,,,,,,,,,,,,,,
inc_50k_59999,Number of Households Income 50000-59999,,,,,,,,,,,,,,,,,,,,,
inc_60k_74999,Number of Households Income 60000-74999,,,,,,,,,,,,,,,,,,,,,
inc_75k_99999,Number of Households Income 75000-99999,,,,,,,,,,,,,,,,,,,,,
inc_under_10k,Number of Households Income Under 10000,,,,,,,,,,,,,,,,,,,,,
inc_100k,Number of Households Income 100000 and Over,,,,,,,,,,,,,,,,,,,,,
hh_w_earn,Number of Households with Earnings in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_wage,Number of Households with Wage or Salary Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_selfemp,Number of Households with Self-Employment in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_interest,Number of Households with Interest Dividends in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_ssi,Number of Households with Social Security Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_sssi,Number of Households with Supplemental Social Security Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_painc,Number of Households with Public Assistance Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_ret,Number of Households with Retirement Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_w_other_inc,Number of Households with Other Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
per_capita_inc,Per Capita Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
veterans,Number of Veterans,,,,,,,,,,,,,,,,,,,,,
vet_gulf_9001,Number of Veterans Gulf War 1990-2001,,,,,,,,,,,,,,,,,,,,,
vet_gulf_post01,Number of Veterans Gulf War 2001 or Later,,,,,,,,,,,,,,,,,,,,,
vet_korean,Number of Veterans Korean War,,,,,,,,,,,,,,,,,,,,,
vet_vietnam,Number of Veterans Vietnam Era,,,,,,,,,,,,,,,,,,,,,
vet_wwii,Number of Veterans World War II,,,,,,,,,,,,,,,,,,,,,
hh_snap,Number of Households with SNAP in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
hh_disabl,Number of Households with One Person with Disability,,,,,,,,,,,,,,,,,,,,,
